State,District,Market,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Recommendable Price
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Finger,FAQ,106,107.49,106,159
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,Large,21,27,25,31.5
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,96,111.5,111.5,144
Andhra Pradesh,Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,23,24,23.5,34.5
Andhra Pradesh,Krishna,Tiruvuru,Rice,1009 Kar,FAQ,45,47,46,67.5
Andhra Pradesh,Krishna,Tiruvuru,Rice,Fine,FAQ,43,45,44,64.5
Andhra Pradesh,Kurnool,Nandyal,Jowar(Sorghum),Jowar (Yellow),Non-FAQ,19.08,22.85,20,28.62
Andhra Pradesh,Kurnool,Yemmiganur,Arhar (Tur/Red Gram)(Whole),777 New Ind,Non-FAQ,43.7,53.49,45.69,65.55
Andhra Pradesh,Nellore,Gudur,Paddy(Dhan)(Common),B P T,FAQ,23,23.5,23.35,34.5
Andhra Pradesh,Nellore,Rapur,Wood, Subabul,FAQ,58,62,60,87
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,34,41.3,37.65,51
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,Lemon,FAQ,40,44,42,60
Assam,Barpeta,Barpeta Road,Bottle gourd,Bottle Gourd,Local,10.0005,12.0006,11.3339,15.00075
Assam,Barpeta,Barpeta Road,Ginger(Green),Green Ginger,Local,35,40,40,52.5
Assam,Barpeta,Barpeta Road,Lemon,Lemon,Local,20.01,23.345,21.344,30.015
Assam,Cachar,Fatakbazar,Pumpkin,Pumpkin,Local,11,12,11,16.5
Assam,Darrang,Banglagarh,Pumpkin,Pumpkin,Local,8,10,8,12
Assam,Dhubri,Chapar,Brinjal,Brinjal,Local,5,7,6,7.5
Assam,Dhubri,Chapar,Capsicum,Capsicum,Local,12,14,12,18
Assam,Dhubri,Chapar,Cauliflower,Cauliflower,Local,8,10,8,12
Assam,Dhubri,Chapar,Tomato,Tomato,Local,4,5,5,6
Assam,Goalpara,Lakhipur,Bottle gourd,Bottle Gourd,Local,10.0005,13.334,13.334,15.00075
Assam,Goalpara,Lakhipur,Cabbage,Cabbage,Local,4,6,5,6
Assam,Goalpara,Lakhipur,Pumpkin,Pumpkin,Local,10,12,10,15
Assam,Goalpara,Lakhipur,Tomato,Tomato,Local,6,8,8,9
Assam,Golaghat,Golaghat,Cauliflower,Cauliflower,Local,10,13,11,15
Assam,Jorhat,Jorhat,Cauliflower,Cauliflower,Local,7,8,8,10.5
Assam,Kamrup,Brahmaputra Private Market,Cauliflower,Cauliflower,Local,9,10,9,13.5
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,23,25,24,34.5
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,Local,8,9,8,12
Assam,Kamrup,Pamohi(Garchuk),Lemon,Lemon,Local,18.676,20.01,18.676,28.014
Assam,Kamrup,Pamohi(Garchuk),Tomato,Tomato,Local,10,12,11,15
Assam,Karbi Anglong,Manja,Green Chilli,Green Chilly,Local,28,30,28,42
Assam,Kokrajhar,Balajan Tiniali,Cabbage,Cabbage,Local,10,12,10,15
Assam,Kokrajhar,Balajan Tiniali,Cauliflower,Cauliflower,Local,17,18,18,25.5
Assam,MORIGAON,Jagiroad Dry Fish Market,Cauliflower,Cauliflower,Local,9,10,9,13.5
Assam,Nalbari,Nalbari,Tomato,Tomato,Local,6,8,6,9
Assam,Sibsagar,Sonari,Beetroot,Beetroot,Local,22,25,23,33
Assam,Sibsagar,Sonari,Capsicum,Capsicum,Local,20,22,20,30
Assam,Sonitpur,Dhekiajuli,Tomato,Tomato,Local,8,10,10,12
Bihar,Patna,Danapur,Onion,Medium,FAQ,28,32,30,42
Bihar,Rohtas,Kochas (Balthari),Onion,Medium,FAQ,22,24,23,33
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,FAQ,2,4,3,3
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,10,25,18,15
Chattisgarh,Dhamtari,Belargaon,Paddy(Dhan)(Common),I.R. 36,Non-FAQ,19,19,19,28.5
Chattisgarh,Dhamtari,Nagari,Paddy(Dhan)(Common),I.R. 36,FAQ,22.8,23,22.9,34.2
Chattisgarh,Durg,Durg,Potato,Local,Non-FAQ,16,20,20,24
Chattisgarh,Kanker,Bhanupratappur,Maize,Hybrid Yellow (Cattle Feed),Non-FAQ,20,20,20,30
Chattisgarh,Kanker,Korar,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,20,22,21,30
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),MTU-1001,Non-FAQ,20,20,20,30
Chattisgarh,Koria,Baikunthpur,Corriander seed,Coriander Seed,FAQ,50,50,50,75
Goa,South Goa,Canacona,Copra,Copra,FAQ,90,137,113.5,135
Gujarat,Ahmedabad,Mandal,Cummin Seed(Jeera),Other,FAQ,160.05,187.5,175,240.075
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,40,61,60.4,60
Gujarat,Amreli,Amreli,Chili Red,Bold,FAQ,25.5,159,112.5,38.25
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,43.05,54.5,52.8,64.575
Gujarat,Amreli,Amreli,Wheat,Lokwan,FAQ,26.25,33.5,32.2,39.375
Gujarat,Amreli,Rajula,Bajra(Pearl Millet/Cumbu),Local,FAQ,28.55,34.45,31.5,42.825
Gujarat,Amreli,Rajula,Cotton,Local,FAQ,67.5,73.05,70.28,101.25
Gujarat,Amreli,Rajula,Groundnut,Local,FAQ,41.3,50,45.65,61.95
Gujarat,Amreli,Rajula,Jowar(Sorghum),Local,FAQ,45.75,48.75,47.25,68.625
Gujarat,Amreli,Savarkundla,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,185.5,191.25,188.5,278.25
Gujarat,Amreli,Savarkundla,Jowar(Sorghum),Jowar ( White),FAQ,40,49.05,42.5,60
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,30,33.5,32.5,45
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,FAQ,4,6,5,6
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Green Chilli,Green Chilly,FAQ,15,20,18,22.5
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,10,15,12.5,15
Gujarat,Banaskanth,Deesa,Bajra(Pearl Millet/Cumbu),Other,FAQ,27.5,30.35,29.25,41.25
Gujarat,Banaskanth,Deesa(Bhildi),Castor Seed,Other,FAQ,62,63,62.5,93
Gujarat,Banaskanth,Deesa(Bhildi),Guar Seed(Cluster Beans Seed),Other,FAQ,45.1,45.1,45.1,67.65
Gujarat,Banaskanth,Deesa(Bhildi),Wheat,Other,FAQ,28.2,28.9,28.25,42.3
Gujarat,Banaskanth,Palanpur,Jowar(Sorghum),Other,FAQ,56.35,58.05,57.2,84.525
